Wall time,Step,Value
1769674468.3900135,1,-0.125
1769674542.4502113,3,0.675000011920929
1769674579.9110618,4,0.3499999940395355
1769674615.8306963,5,0.875
1769674721.5928128,8,0.550000011920929
1769674797.6960614,10,0.699999988079071
1769674833.4677386,11,0.20000000298023224
1769674869.5702894,12,0.10000000149011612
1769674983.6222432,15,0.949999988079071
1769675018.6420486,16,0.7250000238418579
1769675055.8666832,17,1.149999976158142
1769675092.2583435,18,1.2000000476837158
1769675128.6267273,19,0.8999999761581421
1769675161.695004,20,0.30000001192092896
1769675198.9960501,21,0.925000011920929
1769675271.717991,23,0.5249999761581421
1769675310.1041462,24,0.32499998807907104
1769675384.0011027,26,0.3499999940395355
1769675421.287394,27,0.7250000238418579
1769675458.6399496,28,0.8999999761581421
1769675494.8720076,29,0.8999999761581421
1769675532.539851,30,1.024999976158142
1769675567.7778597,31,0.22499999403953552
1769675603.4374294,32,0.15000000596046448
1769675641.3196929,33,0.375
1769675676.8223557,34,1.0750000476837158
1769675712.8477633,35,0.15000000596046448
1769675785.585977,37,0.8999999761581421
1769675821.7638001,38,0.15000000596046448
1769675860.178411,39,0.75
1769675892.1112947,40,0.699999988079071
1769675930.9965885,41,0.824999988079071
1769676004.8132687,43,0.675000011920929
1769676042.4051607,44,1.0
1769676154.6953545,47,1.25
1769676190.9536047,48,0.675000011920929
1769676225.5430841,49,1.0
1769676261.8784792,50,0.5
1769676298.7317944,51,0.6000000238418579
1769676336.4940946,52,0.5
1769676373.964252,53,0.4749999940395355
1769676410.5040638,54,0.44999998807907104
1769676447.5172112,55,0.2750000059604645
1769676485.410943,56,0.824999988079071
1769676558.8737173,58,0.8999999761581421
1769676597.9619026,59,0.574999988079071
1769676672.7411785,61,0.625
1769676710.5913818,62,0.800000011920929
1769676748.3020668,63,0.925000011920929
1769676785.232592,64,0.3499999940395355
1769676858.721219,66,1.375
1769676895.6686683,67,0.675000011920929
1769676932.3458984,68,1.350000023841858
1769676969.869903,69,0.6499999761581421
1769677044.8412504,71,0.3499999940395355
1769677080.4929583,72,0.550000011920929
1769677116.7175484,73,0.574999988079071
1769677152.3234644,74,0.5
1769677228.2355947,76,0.574999988079071
1769677299.566809,78,0.8999999761581421
1769677335.6699414,79,0.375
1769677372.364062,80,0.824999988079071
1769677410.2155142,81,0.875
1769677447.2779665,82,0.800000011920929
1769677483.4270692,83,1.024999976158142
1769677518.6483297,84,0.75
1769677592.4945178,86,0.3499999940395355
1769677630.0575373,87,0.625
1769677666.1885388,88,0.574999988079071
1769677702.3481429,89,1.024999976158142
1769677738.2825096,90,0.25
1769677774.1144717,91,1.0
1769677849.6531582,93,0.8500000238418579
1769677925.183684,95,0.574999988079071
1769677960.244192,96,1.4249999523162842
1769677996.5351465,97,0.8999999761581421
1769678109.031384,100,0.574999988079071
1769678144.198237,101,0.675000011920929
1769678181.2158525,102,1.274999976158142
1769678255.7589035,104,1.1749999523162842
1769678293.1902637,105,0.7250000238418579
1769678364.1619184,107,1.475000023841858
1769678400.196122,108,1.149999976158142
1769678435.0734332,109,0.800000011920929
1769678470.5262976,110,1.350000023841858
1769678507.5525327,111,0.574999988079071
1769678543.2658336,112,1.274999976158142
1769678580.270614,113,0.5
1769678652.199575,115,1.0
1769678689.083777,116,0.20000000298023224
1769678725.8058622,117,0.6499999761581421
1769678761.6060562,118,0.9750000238418579
1769678800.8204346,119,0.925000011920929
1769678837.0726314,120,1.2999999523162842
1769678874.737411,121,1.2000000476837158
1769678910.2772186,122,1.3250000476837158
1769678984.5261254,124,1.024999976158142
1769679057.824658,126,0.824999988079071
1769679094.204711,127,1.25
1769679130.8736508,128,0.925000011920929
1769679166.018041,129,0.125
1769679201.0861576,130,0.8999999761581421
1769679237.1810384,131,1.350000023841858
1769679274.7784379,132,1.25
1769679311.4892392,133,1.7000000476837158
1769679384.6344202,135,0.699999988079071
1769679458.529667,137,1.25
1769679495.033405,138,1.0499999523162842
1769679532.7906656,139,1.100000023841858
1769679567.7421443,140,1.25
1769679606.4706655,141,0.800000011920929
1769679643.474232,142,1.3250000476837158
1769679718.6939998,144,0.7250000238418579
1769679755.5068505,145,0.6000000238418579
1769679791.7342858,146,0.9750000238418579
1769679828.5513134,147,0.5249999761581421
1769679865.0158985,148,0.75
1769679902.426625,149,1.4249999523162842
1769679977.6770427,151,1.524999976158142
1769680051.7281091,153,0.9750000238418579
